size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,L2 to L1 load bandwidth [MBytes/s],L2 to L1 load data volume [GBytes],L1 to L2 evict bandwidth [MBytes/s],L1 to L2 evict data volume [GBytes],L1 to/from L2 bandwidth [MBytes/s],L1 to/from L2 data volume [GBytes],L3 to L2 load bandwidth [MBytes/s],L3 to L2 load data volume [GBytes],L2 to L3 evict bandwidth [MBytes/s],L2 to L3 evict data volume [GBytes],L2 to/from L3 bandwidth [MBytes/s],L2 to/from L3 data volume [GBytes],System to L3 bandwidth [MBytes/s],System to L3 data volume [GBytes],L3 to system bandwidth [MBytes/s],L3 to system data volume [GBytes],L3 to/from system bandwidth [MBytes/s],L3 to/from system data volume [GBytes],Memory read bandwidth [MBytes/s],Memory read data volume [GBytes],Memory write bandwidth [MBytes/s],Memory write data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes]
256,0.034000,0.027600,2120.758100,0.744800,11852.985600,0.403500,48.552500,0.001700,11901.538100,0.405200,10630.051400,0.361900,7.418400,0.000300,10637.469900,0.362100,10653.485500,0.362700,0.733200,0.000025,10654.218700,0.362700,10.165100,0.000300,7.901600,0.000300,18.066700,0.000600
512,0.218800,0.218500,2599.987600,0.770800,14745.831200,3.226800,30.326200,0.006600,14776.157300,3.233400,14791.786900,3.236800,1.588100,0.000300,14793.375000,3.237200,14801.679100,3.239000,0.134500,0.000029,14801.813600,3.239000,7.510000,0.001600,6.961900,0.001500,14.472000,0.003200
768,0.625300,0.621100,2599.992400,0.658700,17445.226600,10.909300,30.100000,0.018800,17475.326600,10.928100,17447.652200,10.910800,6.155400,0.003800,17453.807500,10.914600,17615.487400,11.015800,2.904600,0.001800,17618.392000,11.017600,12.312300,0.007700,9.762700,0.006100,22.075000,0.013800
1024,1.347600,1.654400,3197.683500,0.746000,19166.452200,25.829100,21.048500,0.028400,19187.500700,25.857400,19170.451000,25.834500,1.418200,0.001900,19171.869200,25.836400,19183.017200,25.851400,11.899400,0.016000,19194.916500,25.867400,22.216400,0.029900,18.689000,0.025200,40.905400,0.055100
1280,2.252900,2.765400,3197.849800,0.641300,22396.079800,50.457200,21.421800,0.048300,22417.501600,50.505500,22391.381300,50.446700,1.880700,0.004200,22393.262000,50.450900,22407.418000,50.482800,26.549000,0.059800,22433.967000,50.542600,48.468400,0.109200,33.327200,0.075100,81.795700,0.184300
1536,4.462600,5.478400,3198.037200,0.737400,19533.269500,87.168200,17.942700,0.080100,19551.212200,87.248300,19531.304700,87.159400,2.343600,0.010500,19533.648400,87.169900,19545.993400,87.225000,18.856800,0.084100,19564.850200,87.309100,40.342900,0.180000,25.678800,0.114600,66.021800,0.294600
1792,6.360300,7.804000,3197.544800,0.662900,21871.328700,139.107800,80.979700,0.515100,21952.308400,139.622900,21831.239900,138.852900,11.296200,0.071800,21842.536100,138.924700,21845.959200,138.946500,17.463200,0.111100,21863.422400,139.057600,157.833500,1.003900,24.201000,0.153900,182.034500,1.157800
2048,14.321900,17.553200,3197.036300,1.000500,15046.873700,215.499500,426.700900,6.111200,15473.574600,221.610700,14611.476100,209.263800,28.234600,0.404400,14639.710800,209.668200,14625.274600,209.461400,12.007800,0.172000,14637.282400,209.633400,3077.559300,44.076400,18.580300,0.266100,3096.139600,44.342500
2304,25.181100,30.860800,3197.209100,1.237000,19031.838300,479.242600,7232.850700,182.131100,26264.689000,661.373800,11797.493200,297.073900,79.977900,2.013900,11877.471100,299.087800,11870.525200,298.912900,8.981400,0.226200,11879.506600,299.139000,7979.735700,200.938500,15.525800,0.391000,7995.261500,201.329500
2560,39.309000,48.137000,3194.967100,1.408000,20459.691400,804.249600,10098.705000,396.969800,30558.396400,1201.219400,10218.194800,401.666800,5.500400,0.216200,10223.695200,401.883000,10359.297600,407.213400,8.276300,0.325300,10367.573900,407.538800,9411.563900,369.959000,14.543600,0.571700,9426.107500,370.530700
