size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,L2 to L1 load bandwidth [MBytes/s],L2 to L1 load data volume [GBytes],L1 to L2 evict bandwidth [MBytes/s],L1 to L2 evict data volume [GBytes],L1 to/from L2 bandwidth [MBytes/s],L1 to/from L2 data volume [GBytes],L3 to L2 load bandwidth [MBytes/s],L3 to L2 load data volume [GBytes],L2 to L3 evict bandwidth [MBytes/s],L2 to L3 evict data volume [GBytes],L2 to/from L3 bandwidth [MBytes/s],L2 to/from L3 data volume [GBytes],System to L3 bandwidth [MBytes/s],System to L3 data volume [GBytes],L3 to system bandwidth [MBytes/s],L3 to system data volume [GBytes],L3 to/from system bandwidth [MBytes/s],L3 to/from system data volume [GBytes],Memory read bandwidth [MBytes/s],Memory read data volume [GBytes],Memory write bandwidth [MBytes/s],Memory write data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes]
256,0.0340,0.0276,2120.7581,0.7448,11852.9856,0.4035,48.5525,0.0017,11901.5381,0.4052,10630.0514,0.3619,7.4184,0.0003,10637.4699,0.3621,10653.4855,0.3627,0.7332,2.496000e-05,10654.2187,0.3627,10.1651,0.0003,7.9016,0.0003,18.0667,0.0006
512,0.2188,0.2185,2599.9876,0.7708,14745.8312,3.2268,30.3262,0.0066,14776.1573,3.2334,14791.7869,3.2368,1.5881,0.0003,14793.3750,3.2372,14801.6791,3.2390,0.1345,2.944000e-05,14801.8136,3.2390,7.5100,0.0016,6.9619,0.0015,14.4720,0.0032
768,0.6253,0.6211,2599.9924,0.6587,17445.2266,10.9093,30.1000,0.0188,17475.3266,10.9281,17447.6522,10.9108,6.1554,0.0038,17453.8075,10.9146,17615.4874,11.0158,2.9046,0.0018,17618.3920,11.0176,12.3123,0.0077,9.7627,0.0061,22.0750,0.0138
1024,1.3476,1.6544,3197.6835,0.7460,19166.4522,25.8291,21.0485,0.0284,19187.5007,25.8574,19170.4510,25.8345,1.4182,0.0019,19171.8692,25.8364,19183.0172,25.8514,11.8994,0.0160,19194.9165,25.8674,22.2164,0.0299,18.6890,0.0252,40.9054,0.0551
1280,2.2529,2.7654,3197.8498,0.6413,22396.0798,50.4572,21.4218,0.0483,22417.5016,50.5055,22391.3813,50.4467,1.8807,0.0042,22393.2620,50.4509,22407.4180,50.4828,26.5490,0.0598,22433.9670,50.5426,48.4684,0.1092,33.3272,0.0751,81.7957,0.1843
1536,4.4626,5.4784,3198.0372,0.7374,19533.2695,87.1682,17.9427,0.0801,19551.2122,87.2483,19531.3047,87.1594,2.3436,0.0105,19533.6484,87.1699,19545.9934,87.2250,18.8568,0.0841,19564.8502,87.3091,40.3429,0.1800,25.6788,0.1146,66.0218,0.2946
1792,6.3603,7.8040,3197.5448,0.6629,21871.3287,139.1078,80.9797,0.5151,21952.3084,139.6229,21831.2399,138.8529,11.2962,0.0718,21842.5361,138.9247,21845.9592,138.9465,17.4632,0.1111,21863.4224,139.0576,157.8335,1.0039,24.2010,0.1539,182.0345,1.1578
2048,14.3219,17.5532,3197.0363,1.0005,15046.8737,215.4995,426.7009,6.1112,15473.5746,221.6107,14611.4761,209.2638,28.2346,0.4044,14639.7108,209.6682,14625.2746,209.4614,12.0078,0.1720,14637.2824,209.6334,3077.5593,44.0764,18.5803,0.2661,3096.1396,44.3425
2304,25.1811,30.8608,3197.2091,1.2370,19031.8383,479.2426,7232.8507,182.1311,26264.6890,661.3738,11797.4932,297.0739,79.9779,2.0139,11877.4711,299.0878,11870.5252,298.9129,8.9814,0.2262,11879.5066,299.1390,7979.7357,200.9385,15.5258,0.3910,7995.2615,201.3295
2560,39.3090,48.1370,3194.9671,1.4080,20459.6914,804.2496,10098.7050,396.9698,30558.3964,1201.2194,10218.1948,401.6668,5.5004,0.2162,10223.6952,401.8830,10359.2976,407.2134,8.2763,0.3253,10367.5739,407.5388,9411.5639,369.9590,14.5436,0.5717,9426.1075,370.5307
2816,53.9858,66.2091,3198.1427,1.4562,19954.1368,1077.2390,9926.4654,535.8877,29880.6022,1613.1267,9862.6145,532.4406,4.5243,0.2442,9867.1388,532.6849,10010.1330,540.4045,6.3662,0.3437,10016.4992,540.7482,9849.1946,531.7162,12.9049,0.6967,9862.0996,532.4128
3072,71.0984,87.1723,3197.8177,1.4773,19697.5577,1400.4646,9803.2217,696.9933,29500.7794,2097.4579,9731.1818,691.8714,4.5513,0.3236,9735.7331,692.1949,9884.2921,702.7573,6.6451,0.4725,9890.9372,703.2297,9813.1820,697.7014,12.9709,0.9222,9826.1529,698.6237
3328,89.6513,109.9111,3196.9076,1.4664,19842.5316,1778.9082,9889.5625,886.6118,29732.0941,2665.5200,9797.2225,878.3334,4.2922,0.3848,9801.5147,878.7182,9952.6436,892.2671,5.7679,0.5171,9958.4114,892.7842,9898.8308,887.4428,12.3244,1.1049,9911.1552,888.5477
3584,112.4779,135.0861,3192.0691,1.4437,19763.3277,2222.9376,9841.0941,1106.9056,29604.4218,3329.8432,9766.2364,1098.4858,16.4036,1.8450,9782.6400,1100.3308,10130.0640,1139.4083,27.4952,3.0926,10157.5591,1142.5009,9932.8005,1117.2205,28.7176,3.2301,9961.5181,1120.4506
3840,138.0709,168.5190,3195.8025,1.4650,19778.8562,2730.8845,9861.6696,1361.6096,29640.5258,4092.4941,9769.8953,1348.9382,6.5300,0.9016,9776.4253,1349.8398,9995.1018,1380.0327,10.3821,1.4335,10005.4840,1381.4662,9901.1995,1367.0675,16.8550,2.3272,9918.0544,1369.3947
4096,166.3730,203.6778,3197.1345,1.4595,19921.7594,3314.4429,9932.1808,1652.4467,29853.9402,4966.8896,9857.4456,1640.0128,3.9381,0.6552,9861.3838,1640.6680,10024.6797,1667.8360,8.7621,1.4578,10033.4417,1669.2938,9960.9828,1657.2386,15.0540,2.5046,9976.0368,1659.7432
4352,212.1121,242.1738,3080.2352,1.4468,18742.6992,3975.5533,9333.8539,1979.8234,28076.5531,5955.3766,9257.8126,1963.6941,14.2899,3.0311,9272.1025,1966.7251,9744.3207,2066.8883,40.9401,8.6839,9785.2607,2075.5722,9466.6800,2007.9974,46.0206,9.7615,9512.7006,2017.7589
4608,251.4394,287.6356,3082.2508,1.4481,18786.0276,4723.5475,9346.6389,2350.1133,28132.6666,7073.6608,9286.8029,2335.0682,14.4145,3.6244,9301.2174,2338.6925,9737.8841,2448.4877,39.4355,9.9156,9777.3196,2458.4034,9479.7113,2383.5729,44.8179,11.2690,9524.5292,2394.8419
4864,294.8557,337.4259,3085.7584,1.4447,18810.6809,5546.4365,9372.9873,2763.6787,28183.6681,8310.1152,9299.6117,2742.0435,14.9719,4.4146,9314.5837,2746.4581,9769.0748,2880.4674,38.0730,11.2260,9807.1478,2891.6934,9503.0729,2802.0352,43.5503,12.8411,9546.6232,2814.8763
5120,345.9251,396.6085,3085.2479,1.4563,18700.9084,6469.1136,9317.4574,3223.1424,28018.3658,9692.2560,9259.0827,3202.9491,14.1445,4.8929,9273.2272,3207.8421,9698.7941,3355.0563,39.4105,13.6331,9738.2046,3368.6894,9446.6729,3267.8413,44.2890,15.3207,9490.9619,3283.1620
