Dimensions, All, L1, L2, MEM
2.560000000000000000e+02,3.152990000000000137e+01,2.984560000000000102e+01,2.847500000000000142e+01,3.142630000000000123e+01
5.120000000000000000e+02,2.842139999999999844e+01,2.498450000000000060e+01,1.919079999999999941e+01,2.838200000000000145e+01
7.680000000000000000e+02,2.179080000000000084e+01,1.927599999999999980e+01,1.459549999999999947e+01,2.173219999999999885e+01
1.024000000000000000e+03,2.406169999999999831e+01,1.941310000000000002e+01,1.140770000000000017e+01,2.404420000000000002e+01
1.280000000000000000e+03,1.966550000000000153e+01,1.699109999999999943e+01,1.164780000000000015e+01,1.962590000000000146e+01
1.536000000000000000e+03,2.279919999999999902e+01,1.858630000000000138e+01,1.049019999999999975e+01,2.277969999999999828e+01
1.792000000000000000e+03,2.389920000000000044e+01,2.134110000000000085e+01,1.658350000000000080e+01,2.376829999999999998e+01
2.048000000000000000e+03,4.408870000000000289e+01,4.338799999999999812e+01,4.263170000000000215e+01,4.381040000000000134e+01
2.304000000000000000e+03,5.187299999999999756e+01,5.124669999999999703e+01,5.107630000000000337e+01,5.152020000000000266e+01
2.560000000000000000e+03,5.626809999999999690e+01,5.552009999999999934e+01,5.490109999999999957e+01,5.602770000000000294e+01
2.816000000000000000e+03,5.887530000000000285e+01,5.843240000000000123e+01,5.787919999999999732e+01,5.862400000000000233e+01
3.072000000000000000e+03,5.869959999999999667e+01,5.765120000000000289e+01,5.690939999999999799e+01,5.845629999999999882e+01
3.328000000000000000e+03,5.934839999999999804e+01,5.893280000000000030e+01,5.838100000000000023e+01,5.919299999999999784e+01
3.584000000000000000e+03,5.739970000000000283e+01,5.661200000000000188e+01,5.566060000000000230e+01,5.718760000000000332e+01
3.840000000000000000e+03,5.938049999999999784e+01,5.897249999999999659e+01,5.841980000000000217e+01,5.923029999999999973e+01
4.096000000000000000e+03,5.824090000000000344e+01,5.788049999999999784e+01,5.725019999999999953e+01,5.799510000000000076e+01
4.352000000000000000e+03,5.876559999999999917e+01,5.813080000000000069e+01,5.750800000000000267e+01,5.845589999999999975e+01
4.608000000000000000e+03,5.813510000000000133e+01,5.729429999999999978e+01,5.656470000000000198e+01,5.788199999999999790e+01
4.864000000000000000e+03,5.892909999999999826e+01,5.832880000000000109e+01,5.772379999999999711e+01,5.866550000000000153e+01
5.120000000000000000e+03,5.826030000000000086e+01,5.702250000000000085e+01,5.621940000000000026e+01,5.798250000000000171e+01
