i,j,k,flop,flop-ref
256,256,256,3.59,25.08
512,512,512,4.18,38.17
768,768,768,5.62,41.47
1024,1024,1024,4.83,41.46
1280,1280,1280,5.63,42.74
1536,1536,1536,4.88,42.33
1792,1792,1792,5.33,43.11
2048,2048,2048,3.54,41.91
2304,2304,2304,2.92,43.29
2560,2560,2560,2.66,42.22
2816,2816,2816,2.49,43.37
3072,3072,3072,2.45,42.32
3328,3328,3328,2.47,43.43
3584,3584,3584,2.40,40.21
3840,3840,3840,2.47,43.51
4096,4096,4096,2.47,36.97
4352,4352,4352,2.35,40.47
4608,4608,4608,2.34,40.04
4864,4864,4864,2.35,40.79
5120,5120,5120,2.35,40.26
