size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,Cycles without execution [%],Cycles without execution due to L1D [%],Cycles without execution due to L2 [%],Cycles without execution due to memory [%]
256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1280,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
