i,j,k,flop,flop-ref
256,256,256,10.32,23.78
512,512,512,20.12,30.71
768,768,768,27.39,33.37
1024,1024,1024,34.61,41.44
1280,1280,1280,35.59,42.73
1536,1536,1536,35.84,41.79
1792,1792,1792,35.81,43.18
2048,2048,2048,20.17,41.92
2304,2304,2304,16.38,43.27
2560,2560,2560,13.94,42.19
2816,2816,2816,13.41,43.43
3072,3072,3072,13.42,42.40
3328,3328,3328,13.43,43.53
3584,3584,3584,13.45,42.57
3840,3840,3840,13.50,43.57
4096,4096,4096,13.44,38.89
4352,4352,4352,14.46,43.48
4608,4608,4608,15.53,42.40
4864,4864,4864,16.20,43.51
5120,5120,5120,15.37,42.54
