size,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,L2 to L1 load bandwidth [MBytes/s],L2 to L1 load data volume [GBytes],L1 to L2 evict bandwidth [MBytes/s],L1 to L2 evict data volume [GBytes],L1 to/from L2 bandwidth [MBytes/s],L1 to/from L2 data volume [GBytes],L3 to L2 load bandwidth [MBytes/s],L3 to L2 load data volume [GBytes],L2 to L3 evict bandwidth [MBytes/s],L2 to L3 evict data volume [GBytes],L2 to/from L3 bandwidth [MBytes/s],L2 to/from L3 data volume [GBytes],System to L3 bandwidth [MBytes/s],System to L3 data volume [GBytes],L3 to system bandwidth [MBytes/s],L3 to system data volume [GBytes],L3 to/from system bandwidth [MBytes/s],L3 to/from system data volume [GBytes],Memory read bandwidth [MBytes/s],Memory read data volume [GBytes],Memory write bandwidth [MBytes/s],Memory write data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes]
256,0.010500,0.003600,1199.987600,0.375900,7702.995000,0.081100,299.040700,0.003100,8002.035700,0.084300,6573.869200,0.069200,254.778900,0.002700,6828.648000,0.071900,6561.029400,0.069100,142.787500,0.001500,6703.816900,0.070600,36.222500,0.000400,146.348400,0.001500,182.570800,0.001900
512,0.044800,0.040200,2599.973900,0.550600,22212.647100,0.995100,418.683800,0.018800,22631.330900,1.013900,12976.850800,0.581400,305.906500,0.013700,13282.757400,0.595100,12893.087500,0.577600,78.924800,0.003500,12972.012300,0.581200,25.805400,0.001200,83.203300,0.003700,109.008800,0.004900
768,0.115700,0.108300,2599.964400,0.449100,28379.554200,3.283600,398.118300,0.046100,28777.672400,3.329700,16521.598900,1.911600,301.102700,0.034800,16822.701600,1.946400,16416.119700,1.899400,118.089100,0.013700,16534.208900,1.913100,104.989100,0.012100,122.540300,0.014200,227.529300,0.026300
1024,0.223800,0.237500,2921.737900,0.417700,34613.381800,7.748200,396.936700,0.088900,35010.318600,7.837000,20107.448000,4.501000,307.310100,0.068800,20414.758200,4.569800,19981.169800,4.472800,331.082200,0.074100,20312.252000,4.546900,435.277500,0.097400,337.874200,0.075600,773.151800,0.173100
1280,0.378800,0.443600,3213.166400,0.400800,39751.815300,15.058400,373.534300,0.141500,40125.349600,15.199900,23057.699100,8.734500,299.694200,0.113500,23357.393400,8.848000,22917.885000,8.681600,348.364800,0.132000,23266.249900,8.813500,453.889200,0.171900,355.132800,0.134500,809.021900,0.306500
1536,0.625800,0.733200,3202.450400,0.385700,41331.683500,25.863900,326.938800,0.204600,41658.622300,26.068500,24031.680900,15.038200,264.702100,0.165600,24296.383000,15.203800,23955.273400,14.990400,315.762600,0.197600,24271.036000,15.188000,457.362700,0.286200,321.630200,0.201300,778.992900,0.487500
1792,0.983400,1.165000,3209.433600,0.386300,41672.889100,40.980900,286.132500,0.281400,41959.021600,41.262300,24310.698400,23.907000,231.651000,0.227800,24542.349400,24.134800,24217.751500,23.815600,273.485600,0.268900,24491.237100,24.084600,451.989000,0.444500,280.081900,0.275400,732.070900,0.719900
2048,2.566200,3.095800,3204.673000,0.688200,23825.365600,61.139600,144.387200,0.370500,23969.752800,61.510100,14029.822200,36.002700,117.108600,0.300500,14146.930800,36.303200,13972.564600,35.855800,136.714500,0.350800,14109.279200,36.206600,3607.916400,9.258500,143.274700,0.367700,3751.191100,9.626100
2304,4.487300,5.434200,3200.699000,0.851200,19317.984800,86.685600,105.318700,0.472600,19423.303600,87.158200,13647.115000,61.238700,86.242900,0.387000,13733.357900,61.625700,13655.809100,61.277700,98.348000,0.441300,13754.157100,61.719100,7992.681200,35.865600,104.906100,0.470700,8097.587300,36.336300
2560,7.224900,8.786500,3201.572300,1.003500,16453.365900,118.873800,81.287700,0.587300,16534.653600,119.461100,14975.400000,108.195600,69.867400,0.504800,15045.267400,108.700400,15021.278800,108.527100,73.746100,0.532800,15095.024900,109.059900,9033.149900,65.263500,80.363200,0.580600,9113.513100,65.844100
2816,9.993100,12.156500,3200.295700,1.043300,15825.440000,158.145600,71.217200,0.711700,15896.657100,158.857300,15642.882500,156.321300,70.495500,0.704500,15713.378000,157.025800,15705.088400,156.942900,65.483100,0.654400,15770.571500,157.597300,9024.947700,90.187400,71.919500,0.718700,9096.867200,90.906100
