Dimensions, L1<-L2, L1->L2, L1<->L2, L2<-L3, L2->L3, L2<->L3, L3<-MEM, L3->MEM, L3<->MEM 
2.560000000000000000e+02,7.522456054687499893e+00,2.920319335937500149e-01,7.814487988281250352e+00,6.419794140625000090e+00,2.488075195312499932e-01,6.668601562500000135e+00,6.407255273437500342e+00,1.394409179687499944e-01,6.546696191406249810e+00
5.120000000000000000e+02,2.169203818359374836e+01,4.088708984375000188e-01,2.210090908203125082e+01,1.267270585937500016e+01,2.987368164062499942e-01,1.297144277343750041e+01,1.259090576171874964e+01,7.707500000000000462e-02,1.266798076171875032e+01
7.680000000000000000e+02,2.771440839843749870e+01,3.887874023437499771e-01,2.810319570312499948e+01,1.613437392578125085e+01,2.940456054687500265e-01,1.642841953125000032e+01,1.603136689453124930e+01,1.153213867187500019e-01,1.614668837890625142e+01
1.024000000000000000e+03,3.380213066406250277e+01,3.876334960937499741e-01,3.418976425781249873e+01,1.963617968750000031e+01,3.001075195312499777e-01,1.993628730468750021e+01,1.951286113281249968e+01,3.233224609375000003e-01,1.983618359375000040e+01
1.280000000000000000e+03,3.882013212890625198e+01,3.647795898437499740e-01,3.918491171875000134e+01,2.251728427734375160e+01,2.926701171875000229e-01,2.280995449218750082e+01,2.238074707031249844e+01,3.402000000000000024e-01,2.272094716796874891e+01
1.536000000000000000e+03,4.036297216796874920e+01,3.192761718750000144e-01,4.068224833984375266e+01,2.346843837890624940e+01,2.584981445312499737e-01,2.372693652343750159e+01,2.339382167968749826e+01,3.083619140625000199e-01,2.370218359375000006e+01
1.792000000000000000e+03,4.069618076171875032e+01,2.794262695312499933e-01,4.097560703125000003e+01,2.374091640625000110e+01,2.262216796875000102e-01,2.396713808593749917e+01,2.365014794921874852e+01,2.670757812499999773e-01,2.391722373046874850e+01
2.048000000000000000e+03,2.326695859375000097e+01,1.410031250000000069e-01,2.340796171874999843e+01,1.370099824218750051e+01,1.143638671874999957e-01,1.381536210937500009e+01,1.364508261718749971e+01,1.335102539062499871e-01,1.377859296875000084e+01
2.304000000000000000e+03,1.886521953124999840e+01,1.028502929687500067e-01,1.896806992187499930e+01,1.332726074218749979e+01,8.422158203125000575e-02,1.341148232421875086e+01,1.333575107421875039e+01,9.604296874999999900e-02,1.343179404296875035e+01
2.560000000000000000e+03,1.606774013671875068e+01,7.938251953125000093e-02,1.614712265625000143e+01,1.462441406249999964e+01,6.822988281250000342e-02,1.469264394531250062e+01,1.466921757812500005e+01,7.201767578124999847e-02,1.474123525390625034e+01
2.816000000000000000e+03,1.545453125000000050e+01,6.954804687500000526e-02,1.552407919921875035e+01,1.527625244140624972e+01,6.884326171875000677e-02,1.534509570312500060e+01,1.533700039062500053e+01,6.394833984374999336e-02,1.540094873046875001e+01
3.072000000000000000e+03,1.543707734374999951e+01,6.414746093749999767e-02,1.550122480468749941e+01,1.541200205078125052e+01,6.364345703125000309e-02,1.547564550781249970e+01,1.546723427734374923e+01,5.708505859375000158e-02,1.552431923828124916e+01
3.328000000000000000e+03,1.543243193359374921e+01,5.941767578124999838e-02,1.549184960937500044e+01,1.540421083984374917e+01,5.912587890624999842e-02,1.546333671874999993e+01,1.547338955078124911e+01,5.342275390625000203e-02,1.552681230468749973e+01
3.584000000000000000e+03,1.546454902343750071e+01,5.518388671874999846e-02,1.551973291015625023e+01,1.543492021484374987e+01,5.483261718750000180e-02,1.548975283203125031e+01,1.549347402343749991e+01,4.877968750000000187e-02,1.554225371093749963e+01
3.840000000000000000e+03,1.548942275390625056e+01,5.184658203124999781e-02,1.554126933593749982e+01,1.548511123046874971e+01,5.161621093749999695e-02,1.553672744140624928e+01,1.555786865234374972e+01,4.625605468749999921e-02,1.560412480468749941e+01
4.096000000000000000e+03,1.545110615234374940e+01,7.407578125000000013e-02,1.552518193359374976e+01,1.541324404296874917e+01,7.194501953125000127e-02,1.548518906249999993e+01,1.547867578125000065e+01,6.902099609374999500e-02,1.554769677734375044e+01
4.352000000000000000e+03,1.635895048828124843e+01,7.956152343750000355e-02,1.643851191406249868e+01,1.621553437500000072e+01,7.463837890624999694e-02,1.629017275390625130e+01,1.626783945312499924e+01,6.663349609374999427e-02,1.633447304687500079e+01
4.608000000000000000e+03,1.781060283203125039e+01,8.452451171875000058e-02,1.789512744140624889e+01,1.689123652343749882e+01,7.532666015625000266e-02,1.696656318359374893e+01,1.694323564453124931e+01,6.842861328124999476e-02,1.701166425781250169e+01
4.864000000000000000e+03,1.863513076171874872e+01,8.378173828125000389e-02,1.871891249999999829e+01,1.731572021484375057e+01,7.479687499999999878e-02,1.739051708984375111e+01,1.736488906250000142e+01,6.811787109375000426e-02,1.743300693359374876e+01
5.120000000000000000e+03,1.770049414062500048e+01,7.566689453125000075e-02,1.777616103515624957e+01,1.613193085937500015e+01,6.750126953125000495e-02,1.619943212890624906e+01,1.617433037109374894e+01,6.207246093749999721e-02,1.623640273437500170e+01
