Metric,Core 0,,,,
Runtime (RDTSC) [s],19.9814,,,,
Runtime unhalted [s],24.5364,,,,
Clock [MHz],3199.5095,,,,
CPI,0.3422,,,,
L2 to L1 load bandwidth [MBytes/s],31810.0955,,,,
L2 to L1 load data volume [GBytes],635.6106,,,,
L1 to L2 evict bandwidth [MBytes/s],748.9592,,,,
L1 to L2 evict data volume [GBytes],14.9653,,,,
L1 to/from L2 bandwidth [MBytes/s],32559.0547,,,,
L1 to/from L2 data volume [GBytes],650.5758,,,,
L3 to L2 load bandwidth [MBytes/s],7672.5973,,,,
L3 to L2 load data volume [GBytes],153.3093,,,,
L2 to L3 evict bandwidth [MBytes/s],690.9302,,,,
L2 to L3 evict data volume [GBytes],13.8058,,,,
L2 to/from L3 bandwidth [MBytes/s],8363.5275,,,,
L2 to/from L3 data volume [GBytes],167.1151,,,,
System to L3 bandwidth [MBytes/s],7534.2312,,,,
System to L3 data volume [GBytes],150.5446,,,,
L3 to system bandwidth [MBytes/s],652.8696,,,,
L3 to system data volume [GBytes],13.0453,,,,
L3 to/from system bandwidth [MBytes/s],8187.1008,,,,
L3 to/from system data volume [GBytes],163.5898,,,,
Memory read bandwidth [MBytes/s],1773.7178,,,,
Memory read data volume [GBytes],35.4414,,,,
Memory write bandwidth [MBytes/s],659.4833,,,,
Memory write data volume [GBytes],13.1774,,,,
Memory bandwidth [MBytes/s],2433.2011,,,,
Memory data volume [GBytes],48.6188,,,,
