Dimensions, L1<-L2, L1->L2, L1<->L2, L2<-L3, L2->L3, L2<->L3, L3<-MEM, L3->MEM, L3<->MEM 
2.560000000000000000e+02,1.950057070312499974e+01,9.143568359374999455e-01,2.041492744140624893e+01,4.792558496093749731e+00,7.096810546874999792e-01,5.502239453125000068e+00,4.635610058593750082e+00,8.164560546874999325e-02,4.717255664062499854e+00
5.120000000000000000e+02,2.021422988281249999e+01,7.502622070312500169e-01,2.096449208984374835e+01,7.785294531249999928e+00,6.459114257812500481e-01,8.431205957031249199e+00,7.578878027343749935e+00,2.172324218749999841e-02,7.600601269531249926e+00
7.680000000000000000e+02,2.479852109375000069e+01,7.969326171874999698e-01,2.559545371093750177e+01,5.602527734375000179e+00,7.343711914062499568e-01,6.336898925781249581e+00,5.431758886718750290e+00,3.879326171874999951e-02,5.470552148437500151e+00
1.024000000000000000e+03,2.514393554687499943e+01,7.590595703125000426e-01,2.590299511718750125e+01,6.846489257812500284e+00,6.748409179687500092e-01,7.521330273437500047e+00,6.622225292968749955e+00,7.344960937500000231e-02,6.695674902343750290e+00
1.280000000000000000e+03,3.263483818359375022e+01,9.178142578125000339e-01,3.355265244140625214e+01,5.826072949218749741e+00,8.427191406249999739e-01,6.668792089843750048e+00,5.661823046874999932e+00,8.130322265624999323e-02,5.743126269531249939e+00
1.536000000000000000e+03,2.919391093750000010e+01,8.102684570312499446e-01,3.000417939453124916e+01,9.438998339843749363e+00,7.199574218750000032e-01,1.015895576171874914e+01,9.246666210937499741e+00,1.430288085937500009e-01,9.389695019531249187e+00
1.792000000000000000e+03,3.256619169921874857e+01,8.784299804687499824e-01,3.344462167968750066e+01,9.459290332031249804e+00,7.881217773437499963e-01,1.024741210937500036e+01,9.331518554687500355e+00,4.401499999999999857e-01,9.771668554687499508e+00
2.048000000000000000e+03,2.838100214843749924e+01,7.264747070312500554e-01,2.910747685546875019e+01,9.451155859374999579e+00,6.759292968750000297e-01,1.012708515625000061e+01,9.387769238281249429e+00,5.288737304687499696e-01,9.916642968750000620e+00
2.304000000000000000e+03,3.215101552734375190e+01,8.101486328125000469e-01,3.296116416015625106e+01,1.047403486328125055e+01,7.594583007812499842e-01,1.123349316406249976e+01,1.033902451171874937e+01,6.363390625000000522e-01,1.097536357421875053e+01
2.560000000000000000e+03,3.240458437499999889e+01,8.388828124999999636e-01,3.324346718750000207e+01,9.788459960937499815e+00,7.289245117187499456e-01,1.051738447265624998e+01,9.567842968749999955e+00,6.382937499999999931e-01,1.020613671875000072e+01
2.816000000000000000e+03,3.287251386718750013e+01,8.146407226562499826e-01,3.368715458984375033e+01,8.053108691406249520e+00,7.521785156250000437e-01,8.805287207031250674e+00,7.953317968750000411e+00,6.528462890624999737e-01,8.606164257812499940e+00
3.072000000000000000e+03,3.145995830078124911e+01,7.623008789062499790e-01,3.222225917968749798e+01,8.919335644531249940e+00,7.037732421875000366e-01,9.623108789062499113e+00,8.769009082031249847e+00,6.401344726562500087e-01,9.409143554687499744e+00
3.328000000000000000e+03,3.347255917968750083e+01,8.801660156249999645e-01,3.435272519531250168e+01,7.689311132812499672e+00,7.359056640625000201e-01,8.425216796875000469e+00,7.606261425781250196e+00,6.527518554687500307e-01,8.259013378906249869e+00
3.584000000000000000e+03,3.108218535156250084e+01,7.179553710937499611e-01,3.180014072265624847e+01,1.180239414062499925e+01,6.864844726562500110e-01,1.248887851562500018e+01,1.163453662109374953e+01,6.220421874999999545e-01,1.225657880859374949e+01
3.840000000000000000e+03,3.049005292968750069e+01,7.572041992187500403e-01,3.124725712890624862e+01,1.495070986328125073e+01,6.766084960937499559e-01,1.562731835937499980e+01,1.483071435546874994e+01,6.028011718750000414e-01,1.543351552734375076e+01
4.096000000000000000e+03,3.014891093749999840e+01,7.412390625000000455e-01,3.089014999999999844e+01,8.748424804687500611e+00,6.364315429687500414e-01,9.384856445312500739e+00,8.731112890625000844e+00,6.416311523437500108e-01,9.372744042968749412e+00
4.352000000000000000e+03,3.170224091796875143e+01,7.720503906250000270e-01,3.247429140625000343e+01,1.162524374999999921e+01,7.090110351562499691e-01,1.233425478515625073e+01,1.158232343749999949e+01,5.965188476562499620e-01,1.217884228515625011e+01
4.608000000000000000e+03,3.237243457031249960e+01,7.708250976562499579e-01,3.314325957031250169e+01,6.575445117187499910e+00,7.108482421874999790e-01,7.286293359374999667e+00,6.416148144531249820e+00,6.041614257812499833e-01,7.020309570312499581e+00
4.864000000000000000e+03,3.113005498046874919e+01,7.784761718749999559e-01,3.190853115234374826e+01,1.516947744140625076e+01,6.859011718749999931e-01,1.585537861328124976e+01,1.510027792968750049e+01,6.062806640625000298e-01,1.570655859374999963e+01
5.120000000000000000e+03,3.106454638671874946e+01,7.314054687500000096e-01,3.179595185546875058e+01,7.492770800781250351e+00,6.747365234375000131e-01,8.167507324218750142e+00,7.357647656250000168e+00,6.375679687499999915e-01,7.995215625000000159e+00
