Dimensions, CPI, IPC
2.560000000000000000e+02,4.032000000000000028e-01,2.480158730158730229e+00
5.120000000000000000e+02,4.208000000000000074e-01,2.376425855513307983e+00
7.680000000000000000e+02,3.452000000000000068e-01,2.896871378910776507e+00
1.024000000000000000e+03,3.459999999999999742e-01,2.890173410404624388e+00
1.280000000000000000e+03,3.274000000000000243e-01,3.054367745876603202e+00
1.536000000000000000e+03,3.406000000000000139e-01,2.935995302407516050e+00
1.792000000000000000e+03,3.296999999999999931e-01,3.033060357901122384e+00
2.048000000000000000e+03,3.473999999999999866e-01,2.878526194588370668e+00
2.304000000000000000e+03,3.318999999999999728e-01,3.012955709551069727e+00
2.560000000000000000e+03,3.325000000000000178e-01,3.007518796992481036e+00
2.816000000000000000e+03,3.249000000000000221e-01,3.077870113881194136e+00
3.072000000000000000e+03,3.381000000000000116e-01,2.957704821058858347e+00
3.328000000000000000e+03,3.249000000000000221e-01,3.077870113881194136e+00
3.584000000000000000e+03,3.417999999999999927e-01,2.925687536571094149e+00
3.840000000000000000e+03,3.513999999999999901e-01,2.845759817871371666e+00
4.096000000000000000e+03,3.497000000000000108e-01,2.859593937660851903e+00
4.352000000000000000e+03,3.358999999999999764e-01,2.977076510866329517e+00
4.608000000000000000e+03,3.286000000000000032e-01,3.043213633597078527e+00
4.864000000000000000e+03,3.452000000000000068e-01,2.896871378910776507e+00
5.120000000000000000e+03,3.422000000000000042e-01,2.922267679719462219e+00
