Dimensions, L1<-L2, L1->L2, L1<->L2, L2<-L3, L2->L3, L2<->L3, L3<-MEM, L3->MEM, L3<->MEM 
2.560000000000000000e+02,9.365333333333333288e-01,4.373333333333333933e-02,9.802666666666666195e-01,2.304000000000000214e-01,3.413333333333333497e-02,2.645333333333333425e-01,2.229333333333333167e-01,4.266666666666666871e-03,2.261333333333333251e-01
5.120000000000000000e+02,8.892000000000001014e-01,3.306666666666666782e-02,9.222666666666666790e-01,3.425333333333333563e-01,2.839999999999999816e-02,3.709333333333333371e-01,3.334666666666666335e-01,9.333333333333333239e-04,3.344000000000000306e-01
7.680000000000000000e+02,8.733234567901234646e-01,2.804938271604938069e-02,9.014123456790122946e-01,1.972938271604938176e-01,2.587654320987654508e-02,2.231703703703703523e-01,1.912888888888888972e-01,1.382716049382715995e-03,1.926716049382716234e-01
1.024000000000000000e+03,8.713000000000000744e-01,2.630000000000000046e-02,8.976000000000000645e-01,2.372499999999999887e-01,2.338333333333333583e-02,2.606333333333333280e-01,2.294833333333333447e-01,2.549999999999999750e-03,2.320166666666666488e-01
1.280000000000000000e+03,8.648021333333333338e-01,2.431999999999999787e-02,8.891221333333333421e-01,1.543850666666666538e-01,2.233173333333333260e-02,1.767168000000000072e-01,1.500330666666666590e-01,2.150400000000000228e-03,1.521919999999999940e-01
1.536000000000000000e+03,8.598518518518517562e-01,2.386666666666666797e-02,8.837185185185184588e-01,2.780098765432098551e-01,2.120493827160493949e-02,2.992148148148148223e-01,2.723407407407407166e-01,4.212345679012345634e-03,2.765580246913580398e-01
1.792000000000000000e+03,8.620750242954324793e-01,2.325208940719144732e-02,8.853271137026239579e-01,2.504023323615160446e-01,2.086375121477162392e-02,2.712629737609329461e-01,2.470188532555879501e-01,1.165247813411078581e-02,2.586713313896987221e-01
2.048000000000000000e+03,8.527687499999999643e-01,2.182916666666666686e-02,8.745958333333333501e-01,2.839812500000000184e-01,2.031041666666666759e-02,3.042895833333333355e-01,2.820750000000000202e-01,1.589166666666666852e-02,2.979666666666666575e-01
2.304000000000000000e+03,8.520003657978967304e-01,2.146941015089163379e-02,8.734683127572017147e-01,2.775615912208505009e-01,2.012620027434842279e-02,2.976863283036122465e-01,2.739840877914951900e-01,1.686328303612254220e-02,2.908459076360311313e-01
2.560000000000000000e+03,8.599370666666666940e-01,2.226133333333333436e-02,8.821984000000000492e-01,2.597610666666666512e-01,1.934400000000000008e-02,2.791050666666666791e-01,2.539061333333333392e-01,1.693866666666666784e-02,2.708458666666666570e-01
2.816000000000000000e+03,8.526425244177310292e-01,2.112977710994240130e-02,8.737723015276733785e-01,2.088807412972702171e-01,1.951014274981217184e-02,2.283900826446280952e-01,2.062922113698973103e-01,1.693363385925369252e-02,2.232250438266966952e-01
3.072000000000000000e+03,8.481555555555554404e-01,2.055123456790123454e-02,8.687074074074074836e-01,2.404641975308641766e-01,1.897345679012345590e-02,2.594376543209876429e-01,2.364111111111111274e-01,1.725802469135802319e-02,2.536691358024691367e-01
3.328000000000000000e+03,8.665838871187984127e-01,2.278695190411166374e-02,8.893708390229100313e-01,1.990714610832954035e-01,1.905191928387194727e-02,2.181238658777120143e-01,1.969216203914428698e-01,1.689916552875132816e-02,2.138207859201941841e-01
3.584000000000000000e+03,8.483206997084548062e-01,1.959494655004859198e-02,8.679156462585033704e-01,3.221205053449951450e-01,1.873624878522837586e-02,3.408567541302235382e-01,3.175393586005830771e-01,1.697725947521865758e-02,3.345166180758017416e-01
3.840000000000000000e+03,8.535207506172839409e-01,2.119680000000000175e-02,8.747172345679012917e-01,4.185214419753086057e-01,1.894052345679012386e-02,4.374619654320986983e-01,4.151621530864197940e-01,1.687450864197530959e-02,4.320366617283949995e-01
4.096000000000000000e+03,8.428052083333333888e-01,2.072109374999999906e-02,8.635263020833333636e-01,2.445598958333333461e-01,1.779140624999999906e-02,2.623513020833333487e-01,2.440760416666666599e-01,1.793671875000000041e-02,2.620127604166666568e-01
4.352000000000000000e+03,8.523925910848768606e-01,2.075842323088404953e-02,8.731510143157608095e-01,3.125732817694552024e-01,1.906343713956170846e-02,3.316367189090168588e-01,3.114191193432390148e-01,1.603886288079245728e-02,3.274581993350973441e-01
4.608000000000000000e+03,8.487864654778235485e-01,2.021051668952903585e-02,8.689969821673525496e-01,1.724043895747599531e-01,1.863795153177869382e-02,1.910423411065386434e-01,1.682277091906721478e-01,1.584069501600365859e-02,1.840684042066758064e-01
4.864000000000000000e+03,8.571068668902172005e-01,2.143379501385041588e-02,8.785406619040675436e-01,4.176627496719638177e-01,1.888492977596345490e-02,4.365476794479272726e-01,4.157573990377606554e-01,1.669281236331826915e-02,4.324502114010788656e-01
5.120000000000000000e+03,8.474807999999999231e-01,1.995373333333333096e-02,8.674343999999999388e-01,2.044124000000000219e-01,1.840773333333333220e-02,2.228201333333333367e-01,2.007261333333333342e-01,1.739373333333333119e-02,2.181197333333333155e-01
