Dimensions, Time, Time ratio, Time (exp), Time ratio (exp)
2.560000000000000000e+02,4.400000000000000265e-03,nan,4.400000000000000265e-03,1.003906250000000000e+00
5.120000000000000000e+02,3.219999999999999946e-02,7.318181818181817455e+00,4.408593750000000186e-03,1.001953125000000000e+00
7.680000000000000000e+02,8.709999999999999687e-02,2.704968944099378714e+00,4.414334106445312426e-03,1.001302083333333259e+00
1.024000000000000000e+03,2.030000000000000138e-01,2.330654420206659250e+00,4.418644979596137931e-03,1.000976562500000000e+00
1.280000000000000000e+03,3.033000000000000140e-01,1.494088669950738968e+00,4.422097045986447122e-03,1.000781249999999956e+00
1.536000000000000000e+03,5.824000000000000288e-01,1.920211012199142697e+00,4.424976015417428354e-03,1.000651041666666741e+00
1.792000000000000000e+03,8.313000000000000389e-01,1.427369505494505475e+00,4.427445310068889306e-03,1.000558035714285809e+00
2.048000000000000000e+03,1.408500000000000085e+00,1.694334175387946617e+00,4.429607148599196652e-03,1.000488281250000000e+00
2.304000000000000000e+03,1.768699999999999939e+00,1.255733049343272789e+00,4.431529721146331043e-03,1.000434027777777679e+00
2.560000000000000000e+03,2.429600000000000204e+00,1.373664273195002172e+00,4.433260787443654184e-03,1.000390625000000089e+00
2.816000000000000000e+03,3.160699999999999843e+00,1.300913730655251621e+00,4.434835098802831187e-03,1.000355113636363535e+00
3.072000000000000000e+03,4.265100000000000335e+00,1.349416268548106590e+00,4.436278730019889253e-03,1.000325520833333259e+00
3.328000000000000000e+03,5.207399999999999807e+00,1.220932686220721486e+00,4.437611746465208382e-03,1.000300480769230838e+00
3.584000000000000000e+03,6.856499999999999595e+00,1.316683949763797656e+00,4.438849919385538974e-03,1.000279017857142794e+00
3.840000000000000000e+03,8.649699999999999278e+00,1.261532852038211860e+00,4.440005869885378480e-03,1.000260416666666652e+00
4.096000000000000000e+03,1.048300000000000054e+01,1.211949547383146308e+00,4.441089855693455823e-03,1.000244140625000000e+00
4.352000000000000000e+03,1.209389999999999965e+01,1.153667843174663643e+00,4.442110326708091118e-03,1.000229779411764719e+00
4.608000000000000000e+03,1.399949999999999939e+01,1.157567037928211695e+00,4.443074326344963187e-03,1.000217013888888840e+00
4.864000000000000000e+03,1.728969999999999985e+01,1.235022679381406530e+00,4.443987787349557017e-03,1.000205592105263053e+00
5.120000000000000000e+03,1.998140000000000072e+01,1.155682284828539519e+00,4.444855753714274313e-03,1.000195312500000044e+00
